"parameter","mean","median","sd","ci_lower","ci_upper","hpd_lower","hpd_upper","model","label"
"beta0",1.76755761645533,1.76736328001422,0.0338516293740412,1.70216147095859,1.83465668107745,1.70245661635661,1.83489494354833,"M3 (Hierarchical)","Intercept"
"beta[1]",-0.0116664548352752,-0.011711604110756,0.010334689650188,-0.0318219250380631,0.0085967919064408,-0.0322963232746977,0.0080511540119053,"M3 (Hierarchical)","Year (standardized)"
"beta[2]",0.283303022645419,0.283575416476255,0.0527301424201084,0.179588937845948,0.38548225807188,0.179068754818061,0.384846144516598,"M3 (Hierarchical)","Incidence (standardized)"
"beta[3]",-0.386911313231671,-0.386511152234782,0.0440546114821317,-0.4730390846513,-0.299911475809148,-0.473788137179668,-0.300784196803062,"M3 (Hierarchical)","Mortality (standardized)"
"beta[4]",0.0242393237934456,0.0244146609817653,0.0235664034603663,-0.0220567034318699,0.0703055158302261,-0.0209257647379892,0.071346283332836,"M3 (Hierarchical)","Case Detection (standardized)"
"gamma[2]",-0.651693217368137,-0.651917900437084,0.0538730441785276,-0.755654291754887,-0.545651679178585,-0.757315702383645,-0.547724921161748,"M3 (Hierarchical)","AMR"
"gamma[3]",-0.151552831073056,-0.151479271871525,0.0478864290907341,-0.245435797811606,-0.0584074402340589,-0.244809686840459,-0.0579453827431648,"M3 (Hierarchical)","EMR"
"gamma[4]",-0.740785036236595,-0.74100158436132,0.0567520247996009,-0.853144130309191,-0.629264424302837,-0.853879171348059,-0.630223604755271,"M3 (Hierarchical)","EUR"
"gamma[5]",0.0615806761091766,0.0609127086348249,0.0537459198271788,-0.0428834060904501,0.167921829447134,-0.0431488234674982,0.167399279841344,"M3 (Hierarchical)","SEA"
"gamma[6]",-0.303410454429672,-0.303469330870196,0.0477424535358574,-0.396785804303955,-0.209333033370873,-0.394924700373769,-0.207877874763668,"M3 (Hierarchical)","WPR"
"phi",42.8607514579674,42.8417410853912,1.69044052977642,39.6211676665741,46.2580076488162,39.5553996601986,46.1690270347384,"M3 (Hierarchical)","Overdispersion (phi)"
"sigma_u",0.716582075809352,0.715380973657227,0.0414378285546783,0.639272685695823,0.803526433557711,0.634355786678878,0.797933610582604,"M3 (Hierarchical)","Country RE SD (sigma_u)"
