"model","test_quantity","observed","rep_mean","rep_sd","p_value"
"M1","T1a: Unweighted mean success",0.790680048556294,0.821097505351157,0.000408433240256997,1
"M1","T1b: Cohort-weighted aggregate",0.855505521708037,0.85550473401811,5.90642114373537e-05,0.498
"M1","T2: Variance of success rates",0.0201846639316462,0.00595661495093829,6.39244170885923e-05,0
"M1","T3: Count below 0.70",309,50.37025,4.96546361327154,0
"M1","T4a: Within-region var (equal wt)",0.0161523133108015,0.000993819070688486,2.64534423440675e-05,0
"M1","T4b: Within-region var (size wt)",0.0184958937974402,0.00107096419815215,2.61331412170152e-05,0
"M2","T1a: Unweighted mean success",0.790680048556294,0.782771415577863,0.00397786733905052,0.0225
"M2","T1b: Cohort-weighted aggregate",0.855505521708037,0.827867464879826,0.012153216671918,0.00525
"M2","T2: Variance of success rates",0.0201846639316462,0.0169438068403555,0.000807895148116343,0
"M2","T3: Count below 0.70",309,455.88825,22.7938402145279,1
"M2","T4a: Within-region var (equal wt)",0.0161523133108015,0.0148664004733695,0.000792682498006645,0.05975
"M2","T4b: Within-region var (size wt)",0.0184958937974402,0.0154954125280034,0.000757778742704444,0
"M3","T1a: Unweighted mean success",0.790680048556294,0.787536028377018,0.00204551206150451,0.061
"M3","T1b: Cohort-weighted aggregate",0.855505521708037,0.851822755807812,0.00778991854703817,0.321
"M3","T2: Variance of success rates",0.0201846639316462,0.0191269753614767,0.000596489935694013,0.0415
"M3","T3: Count below 0.70",309,360.07525,13.4099046910653,1
"M3","T4a: Within-region var (equal wt)",0.0161523133108015,0.0147276865622335,0.000514964388181016,0.00375
"M3","T4b: Within-region var (size wt)",0.0184958937974402,0.017272926111654,0.000560207385520879,0.019
