"variable","source_file","definition","type","missingness_pct","role","main_or_sensitivity"
"iso3","Both","ISO3 country code","char",0,"Identifier","Main"
"year","Both","Calendar year","int",0,"Predictor","Main"
"newrel_succ","Outcomes","Treatment successes (new+relapse)","int",63.6,"Response (Y)","Main"
"newrel_coh","Outcomes","Treatment cohort size (new+relapse)","int",63.42,"Response (n)","Main"
"rel_with_new_flg","Outcomes","Comparability flag: new+relapse reported together","binary",63.35,"Filter","Main"
"used_2021_defs_flg","Outcomes","Post-2021 definitions flag","binary",88.11,"Filter","Sensitivity only"
"g_whoregion","Burden","WHO region code","char",0,"Categorical predictor","Main"
"e_inc_100k","Burden","Estimated incidence per 100k population","numeric",0.47,"Continuous predictor","Main"
"e_mort_100k","Burden","Estimated mortality per 100k population","numeric",0.47,"Continuous predictor","Main"
"c_cdr","Burden","Case detection ratio (%)","numeric",6.81,"Continuous predictor","Main"
"e_tbhiv_prct","Burden","TB-HIV co-infection percentage","numeric",16.74,"Continuous predictor","Sensitivity only"
