iso3,year,country_id,region_id,g_whoregion,success,cohort,prop_success,e_inc_100k,e_mort_100k,c_cdr,year_z,e_inc_100k_z,e_mort_100k_z,c_cdr_z,e_tbhiv_prct,used_2021_defs_flg
AFG,2012,1,3,EMR,25128,28679,0.876181177865337,194,46,48,-1.6989466701577367,0.36972853173378883,0.49782404367989425,-1.2919187215435721,0.03,NA
AFG,2013,1,3,EMR,26733,30507,0.8762906873832236,194,45,50,-1.4009588499021106,0.36972853173378883,0.47453739419660124,-1.1609044707122378,0.03,NA
AFG,2014,1,3,EMR,27553,31746,0.867920367920368,197,46,49,-1.1029710296464843,0.387173064401075,0.49782404367989425,-1.226411596127905,0.03,NA
AFG,2015,1,3,EMR,31631,36042,0.8776150047167194,200,44,53,-0.8049832093908581,0.4046175970683612,0.45125074471330817,-0.9643830944652361,0.03,NA
AFG,2016,1,3,EMR,37418,40287,0.9287859607317497,204,39,59,-0.5069953891352319,0.4278769739580761,0.3348174972968429,-0.5713403419712327,0.03,NA
AFG,2017,1,3,EMR,42288,46640,0.9066895368782161,209,38,62,-0.20900756887960567,0.45695119507021975,0.3115308478135499,-0.3748189657242311,0.03,NA
AFG,2018,1,3,EMR,44065,48420,0.9100578273440727,212,39,62,0.08898025137602054,0.4743957277375059,0.3348174972968429,-0.3748189657242311,0.03,NA
AFG,2019,1,3,EMR,47789,52438,0.9113429192570274,213,36,65,0.38696807163164676,0.4802105719599346,0.26495754884696376,-0.17829758947722946,0.03,NA
AFG,2020,1,3,EMR,43421,45818,0.947684316207604,205,37,57,0.684955891887273,0.43369181818050484,0.28824419833025683,-0.7023545928025672,0.02,1
AFG,2021,1,3,EMR,46582,50324,0.9256418408711549,206,36,61,0.9829437121428992,0.43950666240293357,0.26495754884696376,-0.44032609113989835,0.01,1
AFG,2022,1,3,EMR,48248,50976,0.9464846202134338,206,34,62,1.2809315323985255,0.43950666240293357,0.2183842498803777,-0.3748189657242311,0.03,1
AFG,2023,1,3,EMR,46706,49533,0.9429269375971574,204,34,59,1.5789193526541516,0.4278769739580761,0.2183842498803777,-0.5713403419712327,0.03,1
ALB,2012,3,4,EUR,373,407,0.9164619164619164,16,0.32,89,-1.6989466701577367,-0.6653137398585242,-0.5659101047169323,1.393873420498784,0.86,NA
ALB,2013,3,4,EUR,416,472,0.8813559322033898,18,0.32,89,-1.4009588499021106,-0.6536840514136667,-0.5659101047169323,1.393873420498784,0.91,NA
ALB,2014,3,4,EUR,358,406,0.8817733990147784,16,0.32,89,-1.1029710296464843,-0.6653137398585242,-0.5659101047169323,1.393873420498784,0.94,NA
ALB,2015,3,4,EUR,354,409,0.8655256723716381,16,0.32,89,-0.8049832093908581,-0.6653137398585242,-0.5659101047169323,1.393873420498784,0.95,NA
ALB,2016,3,4,EUR,357,409,0.8728606356968215,16,0.32,89,-0.5069953891352319,-0.6653137398585242,-0.5659101047169323,1.393873420498784,0.97,NA
ALB,2017,3,4,EUR,435,499,0.8717434869739479,20,0.32,89,-0.20900756887960567,-0.6420543629688092,-0.5659101047169323,1.393873420498784,0.98,NA
ALB,2018,3,4,EUR,386,434,0.8894009216589862,17,0.32,89,0.08898025137602054,-0.6594988956360954,-0.5659101047169323,1.393873420498784,0.97,NA
ALB,2019,3,4,EUR,364,412,0.883495145631068,16,0.35,89,0.38696807163164676,-0.6653137398585242,-0.5652115052324334,1.393873420498784,2.2,NA
ALB,2020,3,4,EUR,213,240,0.8875,15,0.36,54,0.684955891887273,-0.6711285840809529,-0.5649786387376005,-0.8988759690495689,1,1
ALB,2021,3,4,EUR,242,269,0.8996282527881041,15,0.37,62,0.9829437121428992,-0.6711285840809529,-0.5647457722427676,-0.3748189657242311,0.41,1
ALB,2022,3,4,EUR,234,264,0.8863636363636364,15,0.37,68,1.2809315323985255,-0.6711285840809529,-0.5647457722427676,0.018223786769772203,0.38,1
